fps_id,name,district,taluk,pincode,latitude,longitude,capacity_kg,registered_cards_count
FPS-KA-BAG-0001,FPS BAG 0001,Bagalkot,Bagalkot Taluk 1,560000,13.559971,77.3275,2500,17
FPS-KA-BAG-0002,FPS BAG 0002,Bagalkot,Bagalkot Taluk 2,560037,15.525967,76.095305,2500,17
FPS-KA-BAG-0003,FPS BAG 0003,Bagalkot,Bagalkot Taluk 3,560074,12.358103,74.545981,3500,17
FPS-KA-BAG-0004,FPS BAG 0004,Bagalkot,Bagalkot Taluk 4,560111,11.81946,77.031617,3000,17
FPS-KA-BAG-0005,FPS BAG 0005,Bagalkot,Bagalkot Taluk 5,560148,14.806133,76.478254,3000,17
FPS-KA-BAG-0006,FPS BAG 0006,Bagalkot,Bagalkot Taluk 1,560185,11.613215,77.394684,3000,17
FPS-KA-BAG-0007,FPS BAG 0007,Bagalkot,Bagalkot Taluk 2,560222,16.078435,74.743187,2500,17
FPS-KA-BAG-0008,FPS BAG 0008,Bagalkot,Bagalkot Taluk 3,560259,12.500037,74.641916,5000,17
FPS-KA-BAG-0009,FPS BAG 0009,Bagalkot,Bagalkot Taluk 4,560296,13.173332,75.836648,2500,17
FPS-KA-BAG-0010,FPS BAG 0010,Bagalkot,Bagalkot Taluk 5,560333,13.875698,75.019302,5000,17
FPS-KA-BAG-0011,FPS BAG 0011,Bagalkot,Bagalkot Taluk 1,560370,14.865191,74.488229,4000,17
FPS-KA-BAG-0012,FPS BAG 0012,Bagalkot,Bagalkot Taluk 2,560407,13.106796,75.282266,2500,17
FPS-KA-BAG-0013,FPS BAG 0013,Bagalkot,Bagalkot Taluk 3,560444,14.008385,76.748116,2500,17
FPS-KA-BAG-0014,FPS BAG 0014,Bagalkot,Bagalkot Taluk 4,560481,12.598206,75.799821,2500,17
FPS-KA-BAG-0015,FPS BAG 0015,Bagalkot,Bagalkot Taluk 5,560518,14.75828,74.162576,3000,17
FPS-KA-BAG-0016,FPS BAG 0016,Bagalkot,Bagalkot Taluk 1,560555,14.841497,74.596834,3000,17
FPS-KA-BAG-0017,FPS BAG 0017,Bagalkot,Bagalkot Taluk 2,560592,11.857784,77.321099,5000,17
FPS-KA-BAG-0018,FPS BAG 0018,Bagalkot,Bagalkot Taluk 3,560629,16.810976,76.829391,5000,17
FPS-KA-BAG-0019,FPS BAG 0019,Bagalkot,Bagalkot Taluk 4,560666,13.175376,74.341852,2500,17
FPS-KA-BAG-0020,FPS BAG 0020,Bagalkot,Bagalkot Taluk 5,560703,15.263282,75.540534,5000,17
FPS-KA-BAL-0001,FPS BAL 0001,Ballari,Ballari Taluk 1,560740,12.17121,75.733119,3000,17
FPS-KA-BAL-0002,FPS BAL 0002,Ballari,Ballari Taluk 2,560777,11.689137,77.182621,5000,17
FPS-KA-BAL-0003,FPS BAL 0003,Ballari,Ballari Taluk 3,560814,12.92329,76.318828,4000,17
FPS-KA-BAL-0004,FPS BAL 0004,Ballari,Ballari Taluk 4,560851,13.214411,75.820238,3000,17
FPS-KA-BAL-0005,FPS BAL 0005,Ballari,Ballari Taluk 5,560888,14.506907,74.646991,4000,17
FPS-KA-BAL-0006,FPS BAL 0006,Ballari,Ballari Taluk 1,560925,16.832715,76.712965,5000,17
