fps_id,district,cycle_id,commodity,demand_quantity_kg,allocated_quota_kg,portability_inflow_kg,portability_outflow_kg,lifted_quantity_kg
FPS-KA-BAG-0001,Bagalkot,2025-09,Rice,155,145,0,0,145
FPS-KA-BAG-0001,Bagalkot,2025-09,Wheat,225,225,5,0,230
FPS-KA-BAG-0001,Bagalkot,2025-09,Coarse Grains,15,15,0,0,15
FPS-KA-BAG-0001,Bagalkot,2025-10,Rice,145,140,5,0,145
FPS-KA-BAG-0001,Bagalkot,2025-10,Wheat,215,215,5,0,220
FPS-KA-BAG-0001,Bagalkot,2025-10,Coarse Grains,15,15,0,0,15
FPS-KA-BAG-0001,Bagalkot,2025-11,Rice,170,165,0,0,165
FPS-KA-BAG-0001,Bagalkot,2025-11,Wheat,245,245,5,5,245
FPS-KA-BAG-0001,Bagalkot,2025-11,Coarse Grains,15,15,5,0,20
FPS-KA-BAG-0001,Bagalkot,2025-12,Rice,170,170,5,0,175
FPS-KA-BAG-0001,Bagalkot,2025-12,Wheat,240,225,0,0,225
FPS-KA-BAG-0001,Bagalkot,2025-12,Coarse Grains,15,15,0,0,15
FPS-KA-BAG-0001,Bagalkot,2026-01,Rice,170,165,5,0,170
FPS-KA-BAG-0001,Bagalkot,2026-01,Wheat,230,235,5,5,230
FPS-KA-BAG-0001,Bagalkot,2026-01,Coarse Grains,15,15,0,0,15
FPS-KA-BAG-0001,Bagalkot,2026-02,Rice,185,185,5,5,185
FPS-KA-BAG-0001,Bagalkot,2026-02,Wheat,260,265,0,0,260
FPS-KA-BAG-0001,Bagalkot,2026-02,Coarse Grains,20,20,0,5,15
FPS-KA-BAG-0001,Bagalkot,2026-03,Rice,185,180,5,0,185
FPS-KA-BAG-0001,Bagalkot,2026-03,Wheat,270,265,0,0,265
FPS-KA-BAG-0001,Bagalkot,2026-03,Coarse Grains,20,20,5,5,20
FPS-KA-BAG-0001,Bagalkot,2026-04,Rice,165,160,5,0,165
FPS-KA-BAG-0001,Bagalkot,2026-04,Wheat,225,210,0,5,210
FPS-KA-BAG-0001,Bagalkot,2026-04,Coarse Grains,20,20,0,0,20
FPS-KA-BAG-0001,Bagalkot,2026-05,Rice,175,175,5,5,175
FPS-KA-BAG-0001,Bagalkot,2026-05,Wheat,215,215,5,0,220
FPS-KA-BAG-0001,Bagalkot,2026-05,Coarse Grains,15,15,0,0,15
FPS-KA-BAG-0001,Bagalkot,2026-06,Rice,160,165,5,0,165
FPS-KA-BAG-0001,Bagalkot,2026-06,Wheat,230,220,5,5,225
FPS-KA-BAG-0001,Bagalkot,2026-06,Coarse Grains,15,15,5,0,20
FPS-KA-BAG-0001,Bagalkot,2026-07,Rice,165,165,5,0,170
FPS-KA-BAG-0001,Bagalkot,2026-07,Wheat,205,200,0,5,200
FPS-KA-BAG-0001,Bagalkot,2026-07,Coarse Grains,20,20,0,0,20
FPS-KA-BAG-0001,Bagalkot,2026-08,Rice,165,170,0,0,165
FPS-KA-BAG-0001,Bagalkot,2026-08,Wheat,205,205,5,0,210
FPS-KA-BAG-0001,Bagalkot,2026-08,Coarse Grains,15,15,0,5,10
FPS-KA-BAG-0002,Bagalkot,2025-09,Rice,200,190,5,5,195
FPS-KA-BAG-0002,Bagalkot,2025-09,Wheat,210,205,5,5,210
FPS-KA-BAG-0002,Bagalkot,2025-09,Coarse Grains,15,15,0,0,15
FPS-KA-BAG-0002,Bagalkot,2025-10,Rice,205,205,0,0,205
FPS-KA-BAG-0002,Bagalkot,2025-10,Wheat,210,210,0,5,205
FPS-KA-BAG-0002,Bagalkot,2025-10,Coarse Grains,20,20,0,5,15
FPS-KA-BAG-0002,Bagalkot,2025-11,Rice,205,195,5,0,200
FPS-KA-BAG-0002,Bagalkot,2025-11,Wheat,230,230,5,0,235
FPS-KA-BAG-0002,Bagalkot,2025-11,Coarse Grains,15,15,5,0,20
FPS-KA-BAG-0002,Bagalkot,2025-12,Rice,225,225,5,0,230
