intent_id,card_id,cycle_id,intended_fps_id,timestamp,commodity,delivery_mode
INT-2026-10-KA-000001,RC-KA-000001,2026-10,FPS-KA-BAG-0001,2026-09-03T16:51:18Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000002,RC-KA-000002,2026-10,FPS-KA-BAG-0002,2026-09-01T14:34:11Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000003,RC-KA-000003,2026-10,FPS-KA-BAG-0003,2026-09-07T16:12:58Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000004,RC-KA-000004,2026-10,FPS-KA-BAG-0004,2026-09-06T22:39:35Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000005,RC-KA-000005,2026-10,FPS-KA-BAG-0005,2026-09-06T10:01:46Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000006,RC-KA-000006,2026-10,FPS-KA-BAG-0006,2026-09-04T09:17:12Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000007,RC-KA-000007,2026-10,FPS-KA-BAG-0007,2026-09-03T11:42:27Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000008,RC-KA-000008,2026-10,FPS-KA-BAG-0008,2026-09-03T02:38:43Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000009,RC-KA-000009,2026-10,FPS-KA-BAG-0009,2026-09-11T05:47:14Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000010,RC-KA-000010,2026-10,FPS-KA-BAG-0010,2026-09-01T18:30:53Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000011,RC-KA-000011,2026-10,FPS-KA-BAG-0011,2026-09-01T17:21:29Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000012,RC-KA-000012,2026-10,FPS-KA-BAG-0012,2026-09-03T06:34:53Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000013,RC-KA-000013,2026-10,FPS-KA-BAG-0013,2026-09-06T07:21:57Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000014,RC-KA-000014,2026-10,FPS-KA-BAG-0014,2026-09-06T15:32:05Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000015,RC-KA-000015,2026-10,FPS-KA-BAG-0015,2026-09-13T06:23:26Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000016,RC-KA-000016,2026-10,FPS-KA-BAG-0016,2026-09-01T15:27:29Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000017,RC-KA-000017,2026-10,FPS-KA-BAG-0017,2026-09-05T19:49:52Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000018,RC-KA-000018,2026-10,FPS-KA-BAG-0018,2026-09-11T04:23:16Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000019,RC-KA-000019,2026-10,FPS-KA-BAG-0019,2026-09-06T08:24:57Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000020,RC-KA-000020,2026-10,FPS-KA-BAG-0020,2026-09-11T21:40:59Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000021,RC-KA-000021,2026-10,FPS-KA-BAL-0001,2026-09-07T18:03:28Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000022,RC-KA-000022,2026-10,FPS-KA-BAL-0002,2026-09-01T03:47:08Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000023,RC-KA-000023,2026-10,FPS-KA-BAL-0003,2026-09-04T21:00:29Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000024,RC-KA-000024,2026-10,FPS-KA-BAL-0004,2026-09-11T06:11:26Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000025,RC-KA-000025,2026-10,FPS-KA-BAL-0005,2026-09-09T06:12:37Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000026,RC-KA-000026,2026-10,FPS-KA-BAL-0006,2026-09-07T17:52:18Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000027,RC-KA-000027,2026-10,FPS-KA-BAL-0007,2026-09-04T18:34:24Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000028,RC-KA-000028,2026-10,FPS-KA-BAL-0008,2026-09-06T05:25:45Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000029,RC-KA-000029,2026-10,FPS-KA-BAL-0009,2026-09-09T04:04:49Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000030,RC-KA-000030,2026-10,FPS-KA-BAL-0010,2026-09-03T11:32:30Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000031,RC-KA-000031,2026-10,FPS-KA-BAL-0011,2026-09-03T06:01:42Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000032,RC-KA-000032,2026-10,FPS-KA-BAL-0012,2026-09-10T05:19:25Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000033,RC-KA-000033,2026-10,FPS-KA-BAL-0013,2026-09-03T08:20:28Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000034,RC-KA-000034,2026-10,FPS-KA-BAL-0014,2026-09-09T17:07:14Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000035,RC-KA-000035,2026-10,FPS-KA-BAL-0015,2026-09-09T08:22:07Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000036,RC-KA-000036,2026-10,FPS-KA-BAL-0016,2026-09-07T10:05:40Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000037,RC-KA-000037,2026-10,FPS-KA-BAL-0017,2026-09-02T01:18:42Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000038,RC-KA-000038,2026-10,FPS-KA-BAL-0018,2026-09-12T03:38:03Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000039,RC-KA-000039,2026-10,FPS-KA-BAL-0019,2026-09-04T00:42:59Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000040,RC-KA-000040,2026-10,FPS-KA-BAL-0020,2026-09-10T04:30:44Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000041,RC-KA-000041,2026-10,FPS-KA-BEL-0001,2026-09-02T21:54:15Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000042,RC-KA-000042,2026-10,FPS-KA-BEL-0002,2026-09-08T02:47:19Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000043,RC-KA-000043,2026-10,FPS-KA-BEL-0003,2026-09-09T18:40:03Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000044,RC-KA-000044,2026-10,FPS-KA-BEL-0004,2026-09-05T16:00:58Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000045,RC-KA-000045,2026-10,FPS-KA-BEL-0005,2026-09-02T16:31:07Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000046,RC-KA-000046,2026-10,FPS-KA-BEL-0006,2026-09-02T02:41:40Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000047,RC-KA-000047,2026-10,FPS-KA-BEL-0007,2026-09-06T12:45:37Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000048,RC-KA-000048,2026-10,FPS-KA-BEL-0008,2026-09-08T00:34:50Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000049,RC-KA-000049,2026-10,FPS-KA-BEL-0009,2026-09-02T22:28:55Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000050,RC-KA-000050,2026-10,FPS-KA-BEL-0010,2026-09-06T15:36:37Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000051,RC-KA-000051,2026-10,FPS-KA-BEL-0011,2026-09-03T10:50:15Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000052,RC-KA-000052,2026-10,FPS-KA-BEL-0012,2026-09-10T05:26:22Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000053,RC-KA-000053,2026-10,FPS-KA-BEL-0013,2026-09-07T17:55:52Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000054,RC-KA-000054,2026-10,FPS-KA-BEL-0014,2026-09-12T00:07:50Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000055,RC-KA-000055,2026-10,FPS-KA-BEL-0015,2026-09-09T20:31:48Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000056,RC-KA-000056,2026-10,FPS-KA-BEL-0016,2026-09-04T22:45:10Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000057,RC-KA-000057,2026-10,FPS-KA-BEL-0017,2026-09-09T23:38:45Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000058,RC-KA-000058,2026-10,FPS-KA-BEL-0018,2026-09-09T14:57:36Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000059,RC-KA-000059,2026-10,FPS-KA-BEL-0019,2026-09-06T02:02:48Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000060,RC-KA-000060,2026-10,FPS-KA-BEL-0020,2026-09-07T11:31:33Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000061,RC-KA-000061,2026-10,FPS-KA-BLR-R-0001,2026-09-02T17:35:41Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000062,RC-KA-000062,2026-10,FPS-KA-BLR-R-0002,2026-09-05T03:41:43Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000063,RC-KA-000063,2026-10,FPS-KA-BLR-R-0003,2026-09-13T23:09:32Z,Rice,FPS_COLLECTION
