truck_id,godown_id,district,payload_capacity_mt
TRK-KA-0001,GDN-KA-0001,Bagalkot,15.0
TRK-KA-0002,GDN-KA-0001,Bagalkot,10.0
TRK-KA-0003,GDN-KA-0001,Bagalkot,15.0
TRK-KA-0004,GDN-KA-0001,Bagalkot,7.0
TRK-KA-0005,GDN-KA-0001,Bagalkot,5.0
TRK-KA-0006,GDN-KA-0002,Bagalkot,5.0
TRK-KA-0007,GDN-KA-0002,Bagalkot,7.0
TRK-KA-0008,GDN-KA-0002,Bagalkot,10.0
TRK-KA-0009,GDN-KA-0002,Bagalkot,5.0
TRK-KA-0010,GDN-KA-0002,Bagalkot,7.0
TRK-KA-0011,GDN-KA-0003,Ballari,5.0
TRK-KA-0012,GDN-KA-0003,Ballari,12.0
TRK-KA-0013,GDN-KA-0003,Ballari,10.0
TRK-KA-0014,GDN-KA-0003,Ballari,12.0
TRK-KA-0015,GDN-KA-0003,Ballari,10.0
TRK-KA-0016,GDN-KA-0004,Ballari,7.0
TRK-KA-0017,GDN-KA-0004,Ballari,10.0
TRK-KA-0018,GDN-KA-0004,Ballari,10.0
TRK-KA-0019,GDN-KA-0004,Ballari,7.0
TRK-KA-0020,GDN-KA-0004,Ballari,10.0
TRK-KA-0021,GDN-KA-0005,Belagavi,5.0
TRK-KA-0022,GDN-KA-0005,Belagavi,15.0
TRK-KA-0023,GDN-KA-0005,Belagavi,7.0
TRK-KA-0024,GDN-KA-0005,Belagavi,15.0
TRK-KA-0025,GDN-KA-0005,Belagavi,7.0
TRK-KA-0026,GDN-KA-0006,Belagavi,7.0
TRK-KA-0027,GDN-KA-0006,Belagavi,12.0
TRK-KA-0028,GDN-KA-0006,Belagavi,12.0
TRK-KA-0029,GDN-KA-0006,Belagavi,10.0
TRK-KA-0030,GDN-KA-0006,Belagavi,15.0
TRK-KA-0031,GDN-KA-0007,Bengaluru Rural,7.0
TRK-KA-0032,GDN-KA-0007,Bengaluru Rural,10.0
TRK-KA-0033,GDN-KA-0007,Bengaluru Rural,5.0
TRK-KA-0034,GDN-KA-0007,Bengaluru Rural,7.0
TRK-KA-0035,GDN-KA-0007,Bengaluru Rural,5.0
TRK-KA-0036,GDN-KA-0008,Bengaluru Rural,10.0
TRK-KA-0037,GDN-KA-0008,Bengaluru Rural,12.0
TRK-KA-0038,GDN-KA-0008,Bengaluru Rural,10.0
TRK-KA-0039,GDN-KA-0008,Bengaluru Rural,5.0
TRK-KA-0040,GDN-KA-0008,Bengaluru Rural,7.0
